booking_id,passenger_id_hash,flight_id,booking_date,status,seat_number,airline,source,destination,departure_time,arrival_time,flight_duration_minutes,flight_duration_hours,supplied_duration_minutes,duration_difference_minutes,duration_status,payment_id,amount,payment_method,first_name,last_name,age,gender,aadhaar_masked,phone_masked,email_masked,flight_day_type,age_group,booking_month
B1011,6f2e7545bf6891bce54a08268e1cd0f112e247db566b7e31baf6851c5c4738c6,AI179,2025-10-25 11:37:36.951,CONFIRMED,22C,Air India,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,4.633333333333334,278.0,0.0,Valid,PAY1537,2115.18,CARD,Reyansh,Verma,60,F,77**********,+9************,re*********************,Unknown,46-60,2025-10
B1012,c7d426d2210ced26b6729b9feacd755a815a5fdb9ef6ff68620fbe61f34c9dd9,AI137,2025-08-15 11:37:36.951,PENDING,28B,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,2.466666666666667,148.0,0.0,Valid,PAY1033,,CARD,Ananya,Agarwal,3,F,15**********,+9************,an***************************,Unknown,Under 18,2025-08
B1012,c7d426d2210ced26b6729b9feacd755a815a5fdb9ef6ff68620fbe61f34c9dd9,AI137,2025-08-15 11:37:36.951,PENDING,28B,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,2.466666666666667,148.0,0.0,Valid,PAY1050,4074.67,CARD,Ananya,Agarwal,3,F,15**********,+9************,an***************************,Unknown,Under 18,2025-08
B1012,c7d426d2210ced26b6729b9feacd755a815a5fdb9ef6ff68620fbe61f34c9dd9,AI137,2025-08-15 11:37:36.951,PENDING,28B,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,2.466666666666667,148.0,0.0,Valid,PAY1274,12647.86,CARD,Ananya,Agarwal,3,F,15**********,+9************,an***************************,Unknown,Under 18,2025-08
B1012,c7d426d2210ced26b6729b9feacd755a815a5fdb9ef6ff68620fbe61f34c9dd9,AI137,2025-08-15 11:37:36.951,PENDING,28B,Air India,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,2.466666666666667,148.0,0.0,Valid,PAY1407,6979.86,CARD,Ananya,Agarwal,3,F,15**********,+9************,an***************************,Unknown,Under 18,2025-08
B1013,cef0e879f29d08edf4d347ea410c96d240548f74a599ba7f77bad47fb561d753,SJ001,2025-07-20 11:37:36.951,CONFIRMED,26E,SpiceJet,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,4.783333333333333,287.0,0.0,Valid,PAY1185,1176.33,UPI,Arjun,Singh,62,F,41**********,+9************,ar*******************,Unknown,60+,2025-07
B1014,493f03c091f1bb5b6181ee7ab114c66faeda7d62a9ca480f33d547d492e5b590,SJ172,2025-09-15 11:37:36.951,PENDING,21E,SpiceJet,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,3.2666666666666666,196.0,0.0,Valid,,,,Vivaan,Gupta,19,F,22**********,+9************,vi********************,Unknown,18-30,2025-09
B1015,4ff00403397e83e71b7bac58d46092c1f4c0558542749ae813ddab899eacdeb3,UK094,2025-10-21 11:37:36.951,Unknown,6F,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,1.75,105.0,0.0,Valid,PAY1339,12008.1,CARD,Ishaan,Patel,63,F,63**********,+9************,is*************************,Unknown,60+,2025-10
B1015,4ff00403397e83e71b7bac58d46092c1f4c0558542749ae813ddab899eacdeb3,UK094,2025-10-21 11:37:36.951,Unknown,6F,Vistara,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,1.75,105.0,0.0,Valid,PAY1694,7601.56,CARD,Ishaan,Patel,63,F,63**********,+9************,is*************************,Unknown,60+,2025-10
B1016,fb80277747aac668145bc47a70b7ee1c7a652955c60fd434859603bc2bb0f212,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,2.35,141.0,0.0,Valid,PAY1577,14076.51,CARD,Diya,Naidu,69,F,44**********,+9************,di******************,Unknown,60+,2026-01
B1016,fb80277747aac668145bc47a70b7ee1c7a652955c60fd434859603bc2bb0f212,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,Vistara,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,2.35,141.0,0.0,Valid,PAY1824,9724.26,NETBANKING,Diya,Naidu,69,F,44**********,+9************,di******************,Unknown,60+,2026-01
B1017,2a70a1e3d06827e26ea66f3dd26bdf35011631c2ff7ec0f502e86ac82152fcd0,UK067,2026-04-04 11:37:36.951,CONFIRMED,13B,Vistara,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,3.433333333333333,206.0,0.0,Valid,,,,Muhammad,Joshi,42,M,47**********,+9************,mu************************,Unknown,31-45,2026-04
B1018,b096a49f0236663227b9349e270cc5f2ad32d485d93865e0d4cb2488c769f768,6F196,2026-03-25 11:37:36.951,CANCELLED,19B,IndiGo,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,1.7166666666666666,103.0,0.0,Valid,PAY1141,2588.63,UPI,Sara,Iyer,53,M,76**********,+9************,sa*******************,Unknown,46-60,2026-03
B1019,051179b157321a62ad4c619eb42654918b3783c788cfba6aa7fd34b1c715c5f7,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,2.45,147.0,0.0,Valid,PAY1162,14810.27,UPI,Arjun,Nair,16,M,68**********,+9************,ar******************,Unknown,Under 18,2025-07
B1019,051179b157321a62ad4c619eb42654918b3783c788cfba6aa7fd34b1c715c5f7,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,2.45,147.0,0.0,Valid,PAY1184,,UPI,Arjun,Nair,16,M,68**********,+9************,ar******************,Unknown,Under 18,2025-07
B1019,051179b157321a62ad4c619eb42654918b3783c788cfba6aa7fd34b1c715c5f7,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,IndiGo,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,2.45,147.0,0.0,Valid,PAY1911,3810.73,CARD,Arjun,Nair,16,M,68**********,+9************,ar******************,Unknown,Under 18,2025-07
B1020,bf52b129e3eaf405810ca84e9b5879fbe3dfd274912e85dd7d400b405aa7b6c2,SJ112,2025-12-06 11:37:36.951,CONFIRMED,27B,SpiceJet,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,2.3333333333333335,140.0,0.0,Valid,PAY1367,8150.35,NETBANKING,Aadhya,Ghosh,16,M,68**********,+9************,aa**********************,Unknown,Under 18,2025-12
B1021,39d17754fbe940620f6b6afe39299cd09366b97c2b5a0806dcc0fc0318a63051,6F190,2025-12-07 11:37:36.951,CANCELLED,4E,IndiGo,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,4.566666666666666,274.0,0.0,Valid,PAY1455,6949.93,UPI,Riya,Ghosh,36,M,37*********,+9************,ri******************,Unknown,31-45,2025-12
B1022,08cb2d3a1162156fae3f8de8547a4392bc4947f04eba00d88607c9bff433f76a,AI080,2026-03-25 11:37:36.951,CONFIRMED,16F,Air India,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,1.5333333333333334,92.0,0.0,Valid,,,,Krishna,Banerjee,18,M,17**********,+9************,kr************************,Unknown,Under 18,2026-03
B1023,7fb7ffdbd85a3ce3777e234c2a13df6ecd93b7417cd5370936f89514d8f28124,6F213,2026-02-03 11:37:36.951,PENDING,24B,IndiGo,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,3.45,207.0,0.0,Valid,PAY1905,13057.27,CARD,Saanvi,Gupta,23,M,22********,+9************,sa********************,Unknown,18-30,2026-02
B1024,4cdb726a24e120816f3083c011a185a0d34c978247e769e24001a6b122005f24,AI115,2025-06-21 11:37:36.951,PENDING,30F,Air India,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0,4.816666666666666,289.0,0.0,Valid,PAY1415,4857.79,UPI,Diya,Chatterjee,24,M,85**********,+9************,di*************************,Unknown,18-30,2025-06
B1025,a500ae03c00baf216d49ec56cceecd33fca80f959f3217c46b44c80a7b84762c,SJ049,2026-03-18 11:37:36.951,PENDING,1B,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,4.0,240.0,0.0,Valid,PAY1628,9721.62,CARD,Krishna,Sharma,67,F,25**********,+9************,kr************************,Unknown,60+,2026-03
B1025,a500ae03c00baf216d49ec56cceecd33fca80f959f3217c46b44c80a7b84762c,SJ049,2026-03-18 11:37:36.951,PENDING,1B,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,4.0,240.0,0.0,Valid,PAY1658,11899.89,UPI,Krishna,Sharma,67,F,25**********,+9************,kr************************,Unknown,60+,2026-03
B1025,a500ae03c00baf216d49ec56cceecd33fca80f959f3217c46b44c80a7b84762c,SJ049,2026-03-18 11:37:36.951,PENDING,1B,SpiceJet,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,4.0,240.0,0.0,Valid,PAY1663,14501.45,CARD,Krishna,Sharma,67,F,25**********,+9************,kr************************,Unknown,60+,2026-03
B1026,e60442d25bc5f693c6cfc0937063c635de3a5baf3a0221977d97fdfdb824e54b,AI058,2025-06-27 11:37:36.951,CONFIRMED,32C,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,1.6333333333333333,98.0,0.0,Valid,PAY1235,2015.66,NETBANKING,Ira,Naidu,75,M,91**********,+9************,ir*******************,Unknown,60+,2025-06
B1026,e60442d25bc5f693c6cfc0937063c635de3a5baf3a0221977d97fdfdb824e54b,AI058,2025-06-27 11:37:36.951,CONFIRMED,32C,Air India,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,1.6333333333333333,98.0,0.0,Valid,PAY1841,11188.7,UPI,Ira,Naidu,75,M,91**********,+9************,ir*******************,Unknown,60+,2025-06
B1027,a4f6ec112797c51296942e96182279f4a30a0c4c2fae4901468b25a8a8ccac41,UK036,2025-07-25 11:37:36.951,CONFIRMED,22A,Vistara,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0,4.4,264.0,0.0,Valid,PAY1306,7503.17,UPI,Aditya,Joshi,1,F,86**********,+9************,ad*********************,Unknown,Under 18,2025-07
B1028,f0316f28ef6214df53c678ecde337e63f431b074b6cbf48b8fc4df3a0b16bef7,SJ239,2025-05-25 11:37:36.951,CANCELLED,26E,SpiceJet,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,1.7666666666666666,106.0,0.0,Valid,,,,Krishna,Naidu,39,M,65**********,+9************,kr*********************,Unknown,31-45,2025-05
B1029,7f7a4a05ac7584dc445b403e3f3476be43426f7f0889117eb963af5f8bb1d4c5,6F025,2025-06-06 11:37:36.951,CANCELLED,19C,IndiGo,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,0.9166666666666666,55.0,0.0,Valid,,,,Kavya,Khan,28,F,39**********,+9************,ka********************,Unknown,18-30,2025-06
B1030,f6b417a876311203b71363b2de9b23777e0a1dae3d73d787849b48272abc719d,6F236,2026-03-18 11:37:36.951,CANCELLED,21E,IndiGo,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,3.316666666666667,199.0,0.0,Valid,,,,Aditya,Mehta,2,M,33*********,+9************,ad*********************,Unknown,Under 18,2026-03
B1031,7f8a4f8fcffd556d60cdd9cb6d9881c5f0952f211e879052948e285011a4da4c,AI060,2025-11-16 11:37:36.951,CANCELLED,1E,Air India,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,1.8833333333333333,113.0,0.0,Valid,PAY1268,7056.42,CARD,Shaurya,Joshi,45,F,53*********,+9************,sh*********************,Unknown,31-45,2025-11
B1032,7eaf1e6c1630f0c8a2856d98642aa558e04431b37f75a59a998747e5f9e8496c,UK021,2025-09-03 11:37:36.951,CANCELLED,18E,Vistara,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,1.8333333333333333,110.0,0.0,Valid,,,,Reyansh,Joshi,33,F,29**********,+9************,re***********************,Unknown,31-45,2025-09
B1033,afbd94f1848fd41087cc5acb8d09e72c4f5b0aad55a614d2754a32417907ca51,UK026,2025-05-06 11:37:36.951,Unknown,19A,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,2.1,126.0,0.0,Valid,PAY1189,9352.83,CARD,Saanvi,Patel,83,F,33**********,+9************,sa********************,Unknown,60+,2025-05
B1033,afbd94f1848fd41087cc5acb8d09e72c4f5b0aad55a614d2754a32417907ca51,UK026,2025-05-06 11:37:36.951,Unknown,19A,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,2.1,126.0,0.0,Valid,PAY1664,,UPI,Saanvi,Patel,83,F,33**********,+9************,sa********************,Unknown,60+,2025-05
B1033,afbd94f1848fd41087cc5acb8d09e72c4f5b0aad55a614d2754a32417907ca51,UK026,2025-05-06 11:37:36.951,Unknown,19A,Vistara,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,2.1,126.0,0.0,Valid,PAY1930,7723.56,UPI,Saanvi,Patel,83,F,33**********,+9************,sa********************,Unknown,60+,2025-05
B1034,f578969533b3f6b3dab72ec2fdc7d0592f61427e461cec167f4c481805ab303e,SJ179,2025-12-31 11:37:36.951,CONFIRMED,22F,SpiceJet,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0,3.5,210.0,0.0,Valid,,,,Muhammad,Nair,24,M,50**********,+9************,mu**************************,Unknown,18-30,2025-12
B1035,b53cd664d3caa7d3461db14d746ee0bac972b79bc4dafeabb23ab761cbc4dccb,6F251,2025-08-21 11:37:36.951,PENDING,11D,IndiGo,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,0.6833333333333333,41.0,0.0,Valid,,,,Ishaan,Nair,78,M,78**********,+9************,is********************,Unknown,60+,2025-08
B1036,b65304c929ac9ac90b919fca5846a082845092de07e4a41e87a5f1f26d69276c,SJ149,2025-11-24 11:37:36.951,PENDING,5B,SpiceJet,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.00496666666666,2.0000827777777777,120.0,0.004966666666661013,Valid,PAY1271,5144.89,CARD,Muhammad,Reddy,32,M,96**********,+9************,mu************************,Unknown,31-45,2025-11
B1037,9eabf0d062f2e17b6c93dfb21197af90d5f6f152aa5aa7f9fb548382ef5da74f,AI188,2026-03-20 11:37:36.951,PENDING,33E,Air India,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0,2.7666666666666666,166.0,0.0,Valid,,,,Shaurya,Singh,69,F,46**********,+9************,sh*********************,Unknown,60+,2026-03
B1038,37b790ac45eacb4d66f50b7c5f6adfbbd850f1ef459633d46e1335583be1bff6,SJ093,2026-01-01 11:37:36.951,PENDING,12D,SpiceJet,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,1.1,66.0,0.0,Valid,,,,Reyansh,Das,58,M,97**********,+9************,re**********************,Unknown,46-60,2026-01
B1039,d78d33086a6ac7092ce5210ee0bc93c09febeb9745177ccab0a40151aeb89c3b,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,1.0666666666666667,64.0,0.0,Valid,PAY1441,6604.98,CARD,Anika,Khan,57,M,88**********,+9************,an********************,Unknown,46-60,2025-08
B1039,d78d33086a6ac7092ce5210ee0bc93c09febeb9745177ccab0a40151aeb89c3b,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,1.0666666666666667,64.0,0.0,Valid,PAY1457,8185.34,UPI,Anika,Khan,57,M,88**********,+9************,an********************,Unknown,46-60,2025-08
B1039,d78d33086a6ac7092ce5210ee0bc93c09febeb9745177ccab0a40151aeb89c3b,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,SpiceJet,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,1.0666666666666667,64.0,0.0,Valid,PAY1889,9866.37,CARD,Anika,Khan,57,M,88**********,+9************,an********************,Unknown,46-60,2025-08
B1040,9520ad3d7a70d319e14e25c5b52c6b6257fe2f5dd6bb98d388da154d09afb415,6F099,2025-08-08 11:37:36.951,CONFIRMED,26B,IndiGo,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,0.5833333333333334,35.0,0.0,Valid,,,,Ananya,Gupta,57,F,92*********,+9************,an********************,Unknown,46-60,2025-08
B1041,ce0196be80de68aa6f4cff9ed81521ba378f6c2d294fc7981e9d8189d65e5b4c,UK176,2025-05-28 11:37:36.951,CONFIRMED,25C,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,4.133333333333334,248.0,0.0,Valid,PAY1614,13829.91,UPI,Shaurya,Gupta,51,F,87**********,+9************,sh***********************,Unknown,46-60,2025-05
B1041,ce0196be80de68aa6f4cff9ed81521ba378f6c2d294fc7981e9d8189d65e5b4c,UK176,2025-05-28 11:37:36.951,CONFIRMED,25C,Vistara,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,4.133333333333334,248.0,0.0,Valid,PAY1894,9750.27,NETBANKING,Shaurya,Gupta,51,F,87**********,+9************,sh***********************,Unknown,46-60,2025-05
B1042,841d6ff4bf515c14ff1194d854071d819eefe7528f5a4bee5df999ccd6cb44e6,UK200,2025-12-02 11:37:36.951,CANCELLED,24F,Vistara,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,1.85,111.0,0.0,Valid,PAY1048,14402.39,CARD,Myra,Das,6,F,96*********,+9************,my****************,Unknown,Under 18,2025-12
B1043,62b0b9ce01d516bf00b0225b65d7ddfab72fde5e2502e45ef408410c282ff651,6F195,2025-11-22 11:37:36.951,CANCELLED,8E,IndiGo,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,0.9166666666666666,55.0,0.0,Valid,PAY1007,8291.6,UPI,Krishna,Joshi,8,M,99**********,+9************,kr************************,Unknown,Under 18,2025-11
B1044,a5d7ccdbaa33ef6ad8ff6cdca600e6bb1ab3186089c6286d1695f87fd374721f,6F174,2026-04-12 11:37:36.951,PENDING,16C,IndiGo,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,0.6666666666666666,40.0,0.0,Valid,PAY1225,1199.88,UPI,Kavya,Chatterjee,35,M,84**********,+9************,ka**************************,Unknown,31-45,2026-04
B1045,c24146553498b11133c73b471f128c4034fbbc101da3d55d16b786b97abc6fc3,SJ214,2026-03-19 11:37:36.951,Unknown,18C,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,1.2666666666666666,76.0,0.0,Valid,PAY1281,2330.65,NETBANKING,Ishaan,Gupta,44,M,61**********,+9************,is**********************,Unknown,31-45,2026-03
B1045,c24146553498b11133c73b471f128c4034fbbc101da3d55d16b786b97abc6fc3,SJ214,2026-03-19 11:37:36.951,Unknown,18C,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,1.2666666666666666,76.0,0.0,Valid,PAY1296,4401.56,UPI,Ishaan,Gupta,44,M,61**********,+9************,is**********************,Unknown,31-45,2026-03
B1045,c24146553498b11133c73b471f128c4034fbbc101da3d55d16b786b97abc6fc3,SJ214,2026-03-19 11:37:36.951,Unknown,18C,SpiceJet,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,1.2666666666666666,76.0,0.0,Valid,PAY1683,,NETBANKING,Ishaan,Gupta,44,M,61**********,+9************,is**********************,Unknown,31-45,2026-03
B1046,a1807f6186c536cb15f0948b636e884457174bd4c2692684959ad17b212b2efd,UK059,2025-10-14 11:37:36.951,CONFIRMED,2C,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0,1.6166666666666667,97.0,0.0,Valid,PAY1112,13689.48,UPI,Kavya,Joshi,34,M,81**********,+9************,ka**********************,Unknown,31-45,2025-10
B1046,a1807f6186c536cb15f0948b636e884457174bd4c2692684959ad17b212b2efd,UK059,2025-10-14 11:37:36.951,CONFIRMED,2C,Vistara,HYD,MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,97.0,1.6166666666666667,97.0,0.0,Valid,PAY1942,12592.83,UPI,Kavya,Joshi,34,M,81**********,+9************,ka**********************,Unknown,31-45,2025-10
B1047,1047b7c4faa338bb338b8d60b66d9ae0e7d14f1ec9f747437882f4f724a283ff,6F151,2025-12-29 11:37:36.951,PENDING,7C,IndiGo,CCU,HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,140.0,2.3333333333333335,140.0,0.0,Valid,,,,Aadhya,Das,47,M,15*********,+9************,aa*******************,Unknown,46-60,2025-12
B1048,fef3551179d3071c36364f32685122bf5ea6d3a401fcc5707960d1986ef03b46,SJ236,2025-09-19 11:37:36.951,PENDING,18C,SpiceJet,MAA,BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,239.0,3.9833333333333334,239.0,0.0,Valid,,,,Riya,Nair,19,F,31**********,+9************,ri*****************,Unknown,18-30,2025-09
B1049,08cb2d3a1162156fae3f8de8547a4392bc4947f04eba00d88607c9bff433f76a,SJ153,2025-07-28 11:37:36.951,Unknown,3C,SpiceJet,DEL,CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,83.0,1.3833333333333333,83.0,0.0,Valid,,,,Krishna,Banerjee,18,M,17**********,+9************,kr************************,Unknown,Under 18,2025-07
B1050,256c5e44719e844bb763f553a8626e4a668b28e4f71e8f1944f4c2ff6d097c34,AI220,2026-01-15 11:37:36.951,PENDING,7D,Air India,BOM,DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,98.0,1.6333333333333333,98.0,0.0,Valid,PAY1606,13350.33,NETBANKING,Ananya,Chatterjee,70,F,37**********,+9************,an***************************,Unknown,60+,2026-01
